"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family","Scientific Name"
"ABAM","","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","Pacific silver fir","Pinaceae","Abies amabilis"
"ABFR2","","Abronia fragrans Nutt. ex Hook.","snowball sand verbena","Nyctaginaceae","Abronia fragrans"
"ABFR2","ABFRG2","Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson","","Nyctaginaceae","Abronia fragrans var. glaucescens"
"ABGR","","Abies grandis (Douglas ex D. Don) Lindl.","grand fir","Pinaceae","Abies grandis"
"ABGR","ABGRI2","Abies grandis (Douglas ex D. Don) Lindl. ssp. idahoensis (Silba) Silba","","Pinaceae","Abies grandis ssp. idahoensis"
"ABGR","ABGRG","Abies grandis (Douglas ex D. Don) Lindl. var. grandis","","Pinaceae","Abies grandis var. grandis"
"ABGR","ABGRI","Abies grandis (Douglas ex D. Don) Lindl. var. idahoensis Silba","","Pinaceae","Abies grandis var. idahoensis"
"ABGR","ABGRJ","Abies grandis (Douglas ex D. Don) Lindl. f. johnsonii O.V. Matthews","","Pinaceae","Abies grandis f. johnsonii"
"ABIES","","Abies Mill.","fir","Pinaceae","Abies"
"ABLA","","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Pinaceae","Abies lasiocarpa"
"ABLA2","","Abronia latifolia Eschsch.","coastal sand verbena","Nyctaginaceae","Abronia latifolia"
"ABLAL","","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae","Abies lasiocarpa var. lasiocarpa"
"ABLAL","ABBAL","Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin","","Pinaceae","Abies balsamea ssp. lasiocarpa"
"ABLAL","ABBAF","Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin","","Pinaceae","Abies balsamea var. fallax"
"ABLAL","ABBI3","Abies bifolia A. Murray bis","","Pinaceae","Abies bifolia"
"ABLAL","ABLAB","Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba","","Pinaceae","Abies lasiocarpa ssp. bifolia bis)"
"ABLAL","ABLAB2","Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.","","Pinaceae","Abies lasiocarpa var. bifolia bis)"
"ABLAL","ABSU","Abies subalpina Engelmann","","Pinaceae","Abies subalpina"
"ABME","","Abronia mellifera Douglas ex Hook.","white sand verbena","Nyctaginaceae","Abronia mellifera"
"ABPR","","Abies procera Rehder","noble fir","Pinaceae","Abies procera"
"ABPR","ABNO","Abies nobilis (Douglas ex D. Don) Lindl.","","Pinaceae","Abies nobilis"
"ABRON","","Abronia Juss.","sandverbena","Nyctaginaceae","Abronia"
"ABTH","","Abutilon theophrasti Medik.","velvetleaf","Malvaceae","Abutilon theophrasti"
"ABTH","ABAB3","Abutilon abutilon (L.) Rusby, nom. inval.","","Malvaceae","Abutilon abutilon nom. inval."
"ABTH","ABAV","Abutilon avicennae Gaertn.","","Malvaceae","Abutilon avicennae"
"ABUM","","Abronia umbellata Lam.","pink sand verbena","Nyctaginaceae","Abronia umbellata"
"ABUMB","","Abronia umbellata Lam. ssp. breviflora (Standl.) Munz","pink sand verbena","Nyctaginaceae","Abronia umbellata ssp. breviflora"
"ABUMB","ABAC","Abronia acutalata Standl.","","Nyctaginaceae","Abronia acutalata"
"ABUMB","ABBR2","Abronia breviflora Standl.","","Nyctaginaceae","Abronia breviflora"
"ABUMB","ABUMA2","Abronia umbellata Lam. ssp. acutalata (Standl.) Tillett","","Nyctaginaceae","Abronia umbellata ssp. acutalata"
"ABUMB","ABUMA3","Abronia umbellata Lam. var. acutalata (Standl.) C.L. Hitchc.","","Nyctaginaceae","Abronia umbellata var. acutalata"
"ABUTI","","Abutilon Mill.","Indian mallow","Malvaceae","Abutilon"
"ACAM","","Acorus americanus (Raf.) Raf.","sweetflag","Acoraceae","Acorus americanus"
"ACAM","ACCA10","Acorus calamus auct. non L.","","Acoraceae","Acorus calamus"
"ACAM","ACCAA2","Acorus calamus L. var. americanus (Raf.) H.D. Wulff.","","Acoraceae","Acorus calamus var. americanus"
"ACAR2","","Acinos arvensis (Lam.) Dandy","basil thyme","Lamiaceae","Acinos arvensis"
"ACAR2","ACTH3","Acinos thymoides (L.) Moench","","Lamiaceae","Acinos thymoides"
"ACAR2","CAAC6","Calamintha acinos (L.) Clairville ex Gaudich.","","Lamiaceae","Calamintha acinos"
"ACAR2","CLAC5","Clinopodium acinos (L.) Kuntze","","Lamiaceae","Clinopodium acinos"
"ACAR2","SAAC","Satureja acinos (L.) Scheele","","Lamiaceae","Satureja acinos"
"ACARO2","","Acarospora A. Massal.","cracked lichen","Acarosporaceae","Acarospora"
"ACBL","","Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale]","","Poaceae","Achnatherum occidentale]"
"ACBL","ORBL","Oryzopsis bloomeri (Bol.) Ricker","","Poaceae","Oryzopsis bloomeri"
"ACBL","STBL4","Stipa bloomeri Bol.","","Poaceae","Stipa bloomeri"
"ACBL","STBL5","Stiporyzopsis bloomeri (Bol.) B.L. Johnson","","Poaceae","Stiporyzopsis bloomeri"
"ACCA4","","Acorus calamus L.","calamus","Acoraceae","Acorus calamus"
"ACCA6","","Achlys californica I. Fukuda & H.G. Baker","deer's foot","Berberidaceae","Achlys californica"
"ACCI","","Acer circinatum Pursh","vine maple","Aceraceae","Acer circinatum"
"ACCO4","","Aconitum columbianum Nutt.","Columbian monkshood","Ranunculaceae","Aconitum columbianum"
"ACCOC3","","Aconitum columbianum Nutt. ssp. columbianum","Columbian monkshood","Ranunculaceae","Aconitum columbianum ssp. columbianum"
"ACCOC3","ACCOP","Aconitum columbianum Nutt. ssp. pallidum Piper","","Ranunculaceae","Aconitum columbianum ssp. pallidum"
"ACCOC3","ACCOB","Aconitum columbianum Nutt. var. bakeri (Greene) Harrington","","Ranunculaceae","Aconitum columbianum var. bakeri"
"ACCOC3","ACCOO","Aconitum columbianum Nutt. var. ochroleucum A. Nelson","","Ranunculaceae","Aconitum columbianum var. ochroleucum"
"ACCOC3","ACGE3","Aconitum geranioides Greene","","Ranunculaceae","Aconitum geranioides"
"ACCOC3","ACLE6","Aconitum leibergii Greene","","Ranunculaceae","Aconitum leibergii"
"ACCOC3","ACMO3","Aconitum mogollonicum Greene","","Ranunculaceae","Aconitum mogollonicum"
"ACEL4","","Actaea elata (Nutt.) Prantl","tall bugbane","Ranunculaceae","Actaea elata"
"ACEL4","CIEL","Cimicifuga elata Nutt.","","Ranunculaceae","Cimicifuga elata"
"ACER","","Acer L.","maple","Aceraceae","Acer"
"ACGL","","Acer glabrum Torr.","Rocky Mountain maple","Aceraceae","Acer glabrum"
"ACGLD4","","Acer glabrum Torr. var. douglasii (Hook.) Dippel","Douglas maple","Aceraceae","Acer glabrum var. douglasii"
"ACGLD4","ACDO","Acer douglasii Hook.","","Aceraceae","Acer douglasii"
"ACGLD4","ACGLD2","Acer glabrum Torr. ssp. douglasii (Hook.) Wesmael","","Aceraceae","Acer glabrum ssp. douglasii"
"ACGR3","","Acer grandidentatum Nutt.","bigtooth maple","Aceraceae","Acer grandidentatum"
"ACHE10","","Achnatherum hendersonii (Vasey) Barkworth","Henderson's needlegrass","Poaceae","Achnatherum hendersonii"
"ACHE10","ORHE","Oryzopsis hendersonii Vasey","","Poaceae","Oryzopsis hendersonii"
"ACHE10","STHE5","Stipa hendersonii (Vasey) Muhl.","","Poaceae","Stipa hendersonii"
"ACHIL","","Achillea L.","yarrow","Asteraceae","Achillea"
"ACHLY","","Achlys DC.","achlys","Berberidaceae","Achlys"
"ACHNA","","Achnatherum P. Beauv.","needlegrass","Poaceae","Achnatherum"
"ACHY","","Achnatherum hymenoides (Roem. & Schult.) Barkworth","Indian ricegrass","Poaceae","Achnatherum hymenoides"
"ACHY","ERCU9","Eriocoma cuspidata Nutt.","","Poaceae","Eriocoma cuspidata"
"ACHY","ORHY","Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper","","Poaceae","Oryzopsis hymenoides"
"ACHY","STHY6","Stipa hymenoides Roem. & Schult.","","Poaceae","Stipa hymenoides"
"ACINO","","Acinos Mill.","acinos","Lamiaceae","Acinos"
"ACLA12","","Actaea laciniata (S. Watson) J. Compton","Mt. Hood bugbane","Ranunculaceae","Actaea laciniata"
"ACLA12","CILA","Cimicifuga laciniata S. Watson","","Ranunculaceae","Cimicifuga laciniata"
"ACLE8","","Achnatherum lemmonii (Vasey) Barkworth","Lemmon's needlegrass","Poaceae","Achnatherum lemmonii"
"ACLEL","","Achnatherum lemmonii (Vasey) Barkworth var. lemmonii","Lemmon's needlegrass","Poaceae","Achnatherum lemmonii var. lemmonii"
"ACLEL","ACLEL2","Achnatherum lemmonii (Vasey) Barkworth ssp. lemmonii","","Poaceae","Achnatherum lemmonii ssp. lemmonii"
"ACLEL","STLE2","Stipa lemmonii (Vasey) Scribn.","","Poaceae","Stipa lemmonii"
"ACLEL","STLEJ","Stipa lemmonii (Vasey) Scribn. var. jonesii Scribn.","","Poaceae","Stipa lemmonii var. jonesii"
"ACLEL","STLEL","Stipa lemmonii (Vasey) Scribn. var. lemmonii","","Poaceae","Stipa lemmonii var. lemmonii"
"ACMA3","","Acer macrophyllum Pursh","bigleaf maple","Aceraceae","Acer macrophyllum"
"ACMI2","","Achillea millefolium L.","common yarrow","Asteraceae","Achillea millefolium"
"ACMIA","","Achillea millefolium L. var. alpicola (Rydb.) Garrett","common yarrow","Asteraceae","Achillea millefolium var. alpicola"
"ACMIA","ACAL11","Achillea alpicola (Rydb.) Rydb.","","Asteraceae","Achillea alpicola"
"ACMIA","ACFU","Achillea fusca Rydb.","","Asteraceae","Achillea fusca"
"ACMIA","ACLAA","Achillea lanulosa Nutt. ssp. alpicola (Rydb.) D.D. Keck","","Asteraceae","Achillea lanulosa ssp. alpicola"
"ACMIA","ACLAA2","Achillea lanulosa Nutt. var. alpicola Rydb.","","Asteraceae","Achillea lanulosa var. alpicola"
"ACMIA","ACMIF","Achillea millefolium L. var. fusca (Rydb.) G.N. Jones","","Asteraceae","Achillea millefolium var. fusca"
"ACMIA","ACSU3","Achillea subalpina Greene","","Asteraceae","Achillea subalpina"
"ACMIB","","Achillea millefolium L. var. borealis (Bong.) Farw.","boreal yarrow","Asteraceae","Achillea millefolium var. borealis"
"ACMIB","ACBO","Achillea borealis Bong.","","Asteraceae","Achillea borealis"
"ACMIB","ACBOT","Achillea borealis Bong. ssp. typica D.D. Keck","","Asteraceae","Achillea borealis ssp. typica"
"ACMIB","ACMIA3","Achillea millefolium L. ssp. atrotegula B. Boivin","","Asteraceae","Achillea millefolium ssp. atrotegula"
"ACMIB","ACMIB2","Achillea millefolium L. ssp. borealis (Bong.) Breitung","","Asteraceae","Achillea millefolium ssp. borealis"
"ACMIB","ACMIF2","Achillea millefolium L. var. fulva B. Boivin","","Asteraceae","Achillea millefolium var. fulva"
"ACMIB","ACMIP3","Achillea millefolium L. var. parviligula B. Boivin","","Asteraceae","Achillea millefolium var. parviligula"
"ACMIB","ACMIP4","Achillea millefolium L. var. parvula B. Boivin","","Asteraceae","Achillea millefolium var. parvula"
"ACMIC","","Achillea millefolium L. var. californica (Pollard) Jeps.","California yarrow","Asteraceae","Achillea millefolium var. californica"
"ACMIC","ACBOC","Achillea borealis Bong. ssp. californica (Pollard) D.D. Keck","","Asteraceae","Achillea borealis ssp. californica"
"ACMIC","ACBOC2","Achillea borealis Bong. var. californica (Pollard) J.T. Howell","","Asteraceae","Achillea borealis var. californica"
"ACMIC","ACCA7","Achillea californica Pollard","","Asteraceae","Achillea californica"
"ACMIM2","","Achillea millefolium L. var. millefolium","common yarrow","Asteraceae","Achillea millefolium var. millefolium"
"ACMIM2","ACMA14","Achillea magna auct.","","Asteraceae","Achillea magna"
"ACMIO","","Achillea millefolium L. var. occidentalis DC.","western yarrow","Asteraceae","Achillea millefolium var. occidentalis"
"ACMIO","ACAN7","Achillea angustissima Rydb.","","Asteraceae","Achillea angustissima"
"ACMIO","ACAS2","Achillea aspleniifolia auct. non Vent.","","Asteraceae","Achillea aspleniifolia"
"ACMIO","ACER2","Achillea eradiata Piper","","Asteraceae","Achillea eradiata"
"ACMIO","ACGR5","Achillea gracilis Raf.","","Asteraceae","Achillea gracilis"
"ACMIO","ACLA5","Achillea lanulosa Nutt.","","Asteraceae","Achillea lanulosa"
"ACMIO","ACLAT","Achillea lanulosa Nutt. ssp. typica D.D. Keck","","Asteraceae","Achillea lanulosa ssp. typica"
"ACMIO","ACLAA3","Achillea lanulosa Nutt. var. arachnoidea Lunell","","Asteraceae","Achillea lanulosa var. arachnoidea"
"ACMIO","ACLAE","Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck","","Asteraceae","Achillea lanulosa var. eradiata"
"ACMIO","ACLA3","Achillea laxiflora Pollard & Cockerell","","Asteraceae","Achillea laxiflora"
"ACMIO","ACMIL","Achillea millefolium L. ssp. lanulosa (Nutt.) Piper","","Asteraceae","Achillea millefolium ssp. lanulosa"
"ACMIO","ACMIO2","Achillea millefolium L. ssp. occidentalis (DC.) Hyl.","","Asteraceae","Achillea millefolium ssp. occidentalis"
"ACMIO","ACMIP5","Achillea millefolium L. ssp. pallidotegula B. Boivin","","Asteraceae","Achillea millefolium ssp. pallidotegula"
"ACMIO","ACMIA4","Achillea millefolium L. var. aspleniifolia (Vent.) Farw.","","Asteraceae","Achillea millefolium var. aspleniifolia"
"ACMIO","ACMIG2","Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.","","Asteraceae","Achillea millefolium var. gracilis"
"ACMIO","ACMIL3","Achillea millefolium L. var. lanulosa (Nutt.) Piper","","Asteraceae","Achillea millefolium var. lanulosa"
"ACMIO","ACMIR","Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray","","Asteraceae","Achillea millefolium var. rosea"
"ACMIO","ACMIR2","Achillea millefolium L. var. russeolata B. Boivin","","Asteraceae","Achillea millefolium var. russeolata"
"ACMIO","ACOC","Achillea occidentalis (DC.) Raf. ex Rydb.","","Asteraceae","Achillea occidentalis"
"ACMIO","ACRO4","Achillea rosea Desf.","","Asteraceae","Achillea rosea"
"ACMIO","ACTO3","Achillea tomentosa Pursh, non L.","","Asteraceae","Achillea tomentosa"
"ACMIP","","Achillea millefolium L. var. pacifica (Rydb.) G.N. Jones","Pacific yarrow","Asteraceae","Achillea millefolium var. pacifica"
"ACMIP","ACPA5","Achillea pacifica Rydb.","","Asteraceae","Achillea pacifica"
"ACNE2","","Acer negundo L.","boxelder","Aceraceae","Acer negundo"
"ACNE9","","Achnatherum nelsonii (Scribn.) Barkworth","Columbia needlegrass","Poaceae","Achnatherum nelsonii"
"ACNED","","Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth","Dore's needlegrass","Poaceae","Achnatherum nelsonii ssp. dorei"
"ACNED","ACNED2","Achnatherum nelsonii (Scribn.) Barkworth var. dorei (Barkworth & Maze) Dorn","","Poaceae","Achnatherum nelsonii var. dorei"
"ACNED","STCO3","Stipa columbiana Macoun, nom. utique rej.","","Poaceae","Stipa columbiana nom. utique rej."
"ACNED","STMI6","Stipa minor (Vasey) Scribn.","","Poaceae","Stipa minor"
"ACNED","STNED","Stipa nelsonii Scribn. ssp. dorei Barkworth & Maze","","Poaceae","Stipa nelsonii ssp. dorei"
"ACNED","STNED2","Stipa nelsonii Scribn. var. dorei (Barkworth & Maze) Dorn","","Poaceae","Stipa nelsonii var. dorei"
"ACNED","STOCM","Stipa occidentalis Thurb. var. minor sensu C.L. Hitchc., non (Vasey) C.L. Hitchc.","","Poaceae","Stipa occidentalis var. minor sensu"
"ACNEI2","","Acer negundo L. var. interius (Britton) Sarg.","boxelder","Aceraceae","Acer negundo var. interius"
"ACNEI2","ACIN3","Acer interius Britton","","Aceraceae","Acer interius"
"ACNEI2","ACNEI","Acer negundo L. ssp. interius (Britton) Á. Löve & D. Löve","","Aceraceae","Acer negundo ssp. interius"
"ACNEI2","NEACI","Negundo aceroides (L.) Moench ssp. interius (Britton) Á. Löve & D. Löve","","Aceraceae","Negundo aceroides ssp. interius"
"ACNEI2","NEIN3","Negundo interius (Britton) Rydb.","","Aceraceae","Negundo interius"
"ACNEN","","Acer negundo L. var. negundo","boxelder","Aceraceae","Acer negundo var. negundo"
"ACNEN","ACNEV2","Acer negundo L. var. variegatum Jacques","","Aceraceae","Acer negundo var. variegatum"
"ACNEN","NEAC","Negundo aceroides (L.) Moench","","Aceraceae","Negundo aceroides"
"ACNEN","NENE","Negundo negundo (L.) Karst., nom. inval.","","Aceraceae","Negundo negundo nom. inval."
"ACNEV","","Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger","boxelder","Aceraceae","Acer negundo var. violaceum"
"ACNEV","NEACV","Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber","","Aceraceae","Negundo aceroides ssp. violaceum"
"ACOC3","","Achnatherum occidentale (Thurb.) Barkworth","western needlegrass","Poaceae","Achnatherum occidentale"
"ACOCC","","Achnatherum occidentale (Thurb.) Barkworth ssp. californicum (Merr. & Burtt Davy) Barkworth","California needlegrass","Poaceae","Achnatherum occidentale ssp. californicum"
"ACOCC","ACNEL2","Achnatherum nelsonii (Scribn.) Barkworth ssp. longiaristatum (Barkworth & Maze) Barkworth","","Poaceae","Achnatherum nelsonii ssp. longiaristatum"
"ACOCC","STCA2","Stipa californica Merr. & Burtt Davy","","Poaceae","Stipa californica"
"ACOCC","STNEL3","Stipa nelsonii Scribn. var. longiaristata Barkworth & Maze","","Poaceae","Stipa nelsonii var. longiaristata"
"ACOCC","STOCC","Stipa occidentalis Thurb. var. californica (Merr. & Burtt Davy) C.L. Hitchc.","","Poaceae","Stipa occidentalis var. californica"
"ACOCP","","Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth","pubescent western needlegrass","Poaceae","Achnatherum occidentale ssp. pubescens"
"ACOCP","STEL2","Stipa elmeri Piper & Brodie ex Scribn.","","Poaceae","Stipa elmeri"
"ACOCP","STOCP","Stipa occidentalis Thurb. var. pubescens (Vasey) Maze, Roy L. Taylor & MacBryde","","Poaceae","Stipa occidentalis var. pubescens"
"ACONI","","Aconitum L.","monkshood","Ranunculaceae","Aconitum"
"ACORU","","Acorus L.","sweetflag","Acoraceae","Acorus"
"ACPL","","Acer platanoides L.","Norway maple","Aceraceae","Acer platanoides"
"ACPL","ACPLS","Acer platanoides L. var. schwedleri G. Nicholson","","Aceraceae","Acer platanoides var. schwedleri"
"ACPT","","Achillea ptarmica L.","sneezeweed","Asteraceae","Achillea ptarmica"
"ACRE3","","Acroptilon repens (L.) DC.","Russian knapweed","Asteraceae","Acroptilon repens"
"ACRE3","CEPI3","Centaurea picris Pall. ex Willd.","","Asteraceae","Centaurea picris"
"ACRE3","CERE6","Centaurea repens L.","","Asteraceae","Centaurea repens"
"ACRI8","","Achnatherum richardsonii (Link) Barkworth","Richardson's needlegrass","Poaceae","Achnatherum richardsonii"
"ACRI8","STRI2","Stipa richardsonii Link","","Poaceae","Stipa richardsonii"
"ACROP","","Acroptilon Cass.","hardheads","Asteraceae","Acroptilon"
"ACRU2","","Actaea rubra (Aiton) Willd.","red baneberry","Ranunculaceae","Actaea rubra"
"ACRUA8","","Actaea rubra (Aiton) Willd. ssp. arguta (Nutt.) Hultén","red baneberry","Ranunculaceae","Actaea rubra ssp. arguta"
"ACRUA8","ACAR7","Actaea arguta Nutt.","","Ranunculaceae","Actaea arguta"
"ACRUA8","ACARV","Actaea arguta Nutt. var. viridiflora (Greene) Tidestr.","","Ranunculaceae","Actaea arguta var. viridiflora"
"ACRUA8","ACRUA","Actaea rubra (Aiton) Willd. var. arguta (Nutt.) G. Lawson","","Ranunculaceae","Actaea rubra var. arguta"
"ACRUA8","ACSPA","Actaea spicata L. var. arguta (Nutt.) Torr.","","Ranunculaceae","Actaea spicata var. arguta"
"ACSA2","","Acer saccharinum L.","silver maple","Aceraceae","Acer saccharinum"
"ACSA2","ACDA2","Acer dasycarpum Ehrh.","","Aceraceae","Acer dasycarpum"
"ACSA2","ACSAL3","Acer saccharinum L. var. laciniatum Pax","","Aceraceae","Acer saccharinum var. laciniatum"
"ACSA2","ACSAW","Acer saccharinum L. var. wieri Rehder","","Aceraceae","Acer saccharinum var. wieri"
"ACSA2","ARSA9","Argentacer saccharinum (L.) Small","","Aceraceae","Argentacer saccharinum"
"ACTAE","","Actaea L.","baneberry","Ranunculaceae","Actaea"
"ACTH7","","Achnatherum thurberianum (Piper) Barkworth","Thurber's needlegrass","Poaceae","Achnatherum thurberianum"
"ACTH7","STTH2","Stipa thurberiana Piper","","Poaceae","Stipa thurberiana"
"ACTR","","Achlys triphylla (Sm.) DC.","vanillaleaf","Berberidaceae","Achlys triphylla"
"ACTR","ACTRT","Achlys triphylla (Sm.) DC. ssp. triphylla","","Berberidaceae","Achlys triphylla ssp. triphylla"
"ADAE","","Adonis aestivalis L.","summer pheasant's eye","Ranunculaceae","Adonis aestivalis"
"ADAE","ADAEC","Adonis aestivalis L. var. citrina Hoffm.","","Ranunculaceae","Adonis aestivalis var. citrina"
"ADAL","","Adiantum aleuticum (Rupr.) Paris","Aleutian maidenhair","Pteridaceae","Adiantum aleuticum"
"ADAL","ADPEA2","Adiantum pedatum L. ssp. aleuticum (Rupr.) Calder & Roy L. Taylor","","Pteridaceae","Adiantum pedatum ssp. aleuticum"
"ADAL","ADPEC","Adiantum pedatum L. ssp. calderi Cody","","Pteridaceae","Adiantum pedatum ssp. calderi"
"ADAL","ADPES","Adiantum pedatum L. ssp. subpumilum (W.H. Wagner) Lellinger","","Pteridaceae","Adiantum pedatum ssp. subpumilum"
"ADAL","ADPEA","Adiantum pedatum L. var. aleuticum Rupr.","","Pteridaceae","Adiantum pedatum var. aleuticum"
"ADAL","ADPES2","Adiantum pedatum L. var. subpumilum W.H. Wagner","","Pteridaceae","Adiantum pedatum var. subpumilum"
"ADAN","","Adonis annua L.","blooddrops","Ranunculaceae","Adonis annua"
"ADAN","ADAU","Adonis autumnalis L.","","Ranunculaceae","Adonis autumnalis"
"ADBI","","Adenocaulon bicolor Hook.","American trailplant","Asteraceae","Adenocaulon bicolor"
"ADENO","","Adenocaulon Hook.","trailplant","Asteraceae","Adenocaulon"
"ADIAN","","Adiantum L.","maidenhair fern","Pteridaceae","Adiantum"
"ADONI","","Adonis L.","pheasant's eye","Ranunculaceae","Adonis"
"AECY","","Aegilops cylindrica Host","jointed goatgrass","Poaceae","Aegilops cylindrica"
"AECY","AECYR","Aegilops cylindrica Host var. rubiginosa Popova","","Poaceae","Aegilops cylindrica var. rubiginosa"
"AECY","AETA3","Aegilops tauschii auct. non Coss.","","Poaceae","Aegilops tauschii"
"AECY","CYCY5","Cylindropyrum cylindricum (Host) Á. Löve","","Poaceae","Cylindropyrum cylindricum"
"AECY","TRCY3","Triticum cylindricum (Host) Ces., Pass. & Gibelli","","Poaceae","Triticum cylindricum"
"AEGIL","","Aegilops L.","goatgrass","Poaceae","Aegilops"
"AEGOP","","Aegopodium L.","goutweed","Apiaceae","Aegopodium"
"AEHI","","Aesculus hippocastanum L.","horse chestnut","Hippocastanaceae","Aesculus hippocastanum"
"AEPO","","Aegopodium podagraria L.","bishop's goutweed","Apiaceae","Aegopodium podagraria"
"AEPO","AEPOV","Aegopodium podagraria L. var. variegatum L.H. Bailey","","Apiaceae","Aegopodium podagraria var. variegatum"
"AESCU","","Aesculus L.","buckeye","Hippocastanaceae","Aesculus"
"AGAE","","Agrostis aequivalvis (Trin.) Trin.","arctic bentgrass","Poaceae","Agrostis aequivalvis"
"AGAE","POAE","Podagrostis aequivalvis (Trin.) Scribn. & Merr.","","Poaceae","Podagrostis aequivalvis"
"AGAP2","","Agoseris apargioides (Less.) Greene","seaside agoseris","Asteraceae","Agoseris apargioides"
"AGAPE","","Agoseris apargioides (Less.) Greene var. eastwoodiae (Fedde) Munz","woolly goat chicory","Asteraceae","Agoseris apargioides var. eastwoodiae"
"AGAPE","AGEA","Agoseris eastwoodiae Fedde","","Asteraceae","Agoseris eastwoodiae"
"AGAPM","","Agoseris apargioides (Less.) Greene var. maritima (Sheldon) Q. Jones ex Cronquist","woolly goat chicory","Asteraceae","Agoseris apargioides var. maritima"
"AGAPM","AGAPM2","Agoseris apargioides (Less.) Greene ssp. maritima (Sheldon) Q. Jones","","Asteraceae","Agoseris apargioides ssp. maritima"
"AGAPM","AGMA4","Agoseris maritima Sheldon","","Asteraceae","Agoseris maritima"
"AGAST","","Agastache Clayton ex Gronov.","giant hyssop","Lamiaceae","Agastache"
"AGAU2","","Agoseris aurantiaca (Hook.) Greene","orange agoseris","Asteraceae","Agoseris aurantiaca"
"AGAUA","","Agoseris aurantiaca (Hook.) Greene var. aurantiaca","orange agoseris","Asteraceae","Agoseris aurantiaca var. aurantiaca"
"AGAUA","AGGR7","Agoseris graminifolia Greene","","Asteraceae","Agoseris graminifolia"
"AGAUA","AGRO2","Agoseris rostrata Rydb.","","Asteraceae","Agoseris rostrata"
"AGAUA","TRAU8","Troximon aurantiacum Hook.","","Asteraceae","Troximon aurantiacum"
"AGCA5","","Agrostis capillaris L.","colonial bentgrass","Poaceae","Agrostis capillaris"
"AGCA5","AGSY2","Agrostis sylvatica Huds.","","Poaceae","Agrostis sylvatica"
"AGCA5","AGTE","Agrostis tenuis Sibth.","","Poaceae","Agrostis tenuis"
"AGCA5","AGTEA","Agrostis tenuis Sibth. var. aristata (Parnell) Druce","","Poaceae","Agrostis tenuis var. aristata"
"AGCA5","AGTEH","Agrostis tenuis Sibth. var. hispida (Willd.) Philipson","","Poaceae","Agrostis tenuis var. hispida"
"AGCA5","AGTEP","Agrostis tenuis Sibth. var. pumila (L.) Druce","","Poaceae","Agrostis tenuis var. pumila"
"AGCA5","AGVU2","Agrostis vulgaris With.","","Poaceae","Agrostis vulgaris"
"AGCR","","Agropyron cristatum (L.) Gaertn.","fairway crested wheatgrass","Poaceae","Agropyron cristatum"
"AGCRP8","","Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev","crested wheatgrass","Poaceae","Agropyron cristatum ssp. pectinatum"
"AGCRP8","AGCR3","Agropyron cristatiforme Sarkar","","Poaceae","Agropyron cristatiforme"
"AGCRP8","AGPE6","Agropyron pectinatum (M. Bieb.) P. Beauv.","","Poaceae","Agropyron pectinatum"
"AGCRP8","AGPE5","Agropyron pectiniforme Roem. & Schult.","","Poaceae","Agropyron pectiniforme"
"AGEL","","Agoseris elata (Nutt.) Greene","tall agoseris","Asteraceae","Agoseris elata"
"AGEL","STEL4","Stylopappus elatus Nutt.","","Asteraceae","Stylopappus elatus"
"AGERA2","","Ageratina Spach","snakeroot","Asteraceae","Ageratina"
"AGEX","","Agrostis exarata Trin.","spike bentgrass","Poaceae","Agrostis exarata"
"AGEX","AGAE2","Agrostis aenea Trin.","","Poaceae","Agrostis aenea"
"AGEX","AGAL2","Agrostis alaskana Hultén","","Poaceae","Agrostis alaskana"
"AGEX","AGAM2","Agrostis ampla Hitchc.","","Poaceae","Agrostis ampla"
"AGEX","AGAS4","Agrostis asperifolia Trin.","","Poaceae","Agrostis asperifolia"
"AGEX","AGEXM3","Agrostis exarata Trin. ssp. minor (Hook.) C.L. Hitchc.","","Poaceae","Agrostis exarata ssp. minor"
"AGEX","AGEXM","Agrostis exarata Trin. var. minor Hook.","","Poaceae","Agrostis exarata var. minor"
"AGEX","AGEXM2","Agrostis exarata Trin. var. monolepis (Torr.) Hitchc.","","Poaceae","Agrostis exarata var. monolepis"
"AGEX","AGEXP2","Agrostis exarata Trin. var. pacifica Vasey","","Poaceae","Agrostis exarata var. pacifica"
