Adiantum pedatum - Maidenhair Fern

Arcotostaphylos uva-uris - Kinnikinnick

Asarum caudatum - Wild Ginger

Athyrium filix-femina - Lady Fern

Blechnum spicant - Deer Fern

Cornus canadensis - Creeping Dogwood

Dryopteris expansa - Spiny Wood Fern

Fragaria chiloensis - Coastal Strawberry

Gaultheria procumbens - Wintergreen

Gaultheria shallon - Salal

Gymnocarpium dryopteris - Oak Fern

Linnaea borealis - Twinflower

Polystichum munitum - Sword Fern

Xerophyllum tenax - Beargrass

Arbutus menziesii - Pacific Madrone

Holodiscus discolor - Oceanspray

Lonicera ciliosa - Orange Honeysuckle

Lonicera hispidula - Hairy Honeysuckle

Lonicera involucrata - Black Twinberry

Mahonia aquifolium - Tall Oregon Grape

Mahonia nervosa - Cascade Oregon Grape

Menziesia ferruginea - False Azalea/Fool's Huckleberry

Paxistima myrsinites - Mountain Boxwood

Rhododendron occidentale - Western Azalea

Ribes sanguineum - Red Flowering Current

Symphoricarpos albus - Common Snowberry

Vaccinium caespitosum - Dwarf Bilberry

Vaccinium deliciosum - Cascade Huckleberry

Vaccinium membranaceum - Black Huckleberry

Vaccinium ovalifolium - Oval Leaved Blueberry

Vaccinium ovatum - Evergreen Huckleberry

Vaccinium parvifolium - Red Huckleberry

Achlys triphylla - Vanilla Leaf

Aquilegia formosa - Red Columbine

Aruncus dioicus - Goatsbeard

Dicentra formosa - Bleeding Heart

Iris setosa - Wild Flag

Lysichiton americanum - Skunk Cabbage

Maianthemum dilatatum - Bead Lily

Mimulus guttatus - Yellow Monkeyflower

Olsynium douglassii - Grass Widow

Oxalis oregano - Redwood Sorrel

Penstemon serrulatus - Coast Penstemon

Sisyrinchium idahoense - Blue Eyed Grass

Tellima grandiflora - Fringecup

Tiarella trifoliata - Foamflower

Trillium ovatum - Western Trillium

Vancouveria hexandra - Inside Out Flower
